dndkn#TYPE Microsoft.Azure.PowerShell.Cmdlets.Resources.MSGraph.Models.ApiV10.MicrosoftGraphGroup
"AppRoleAssignment","Classification","CreatedDateTime","CreatedOnBehalfOf","DeletedDateTime","Description","DisplayName","ExpirationDateTime","GroupLifecyclePolicy","GroupType","HasMembersWithLicenseError","Id","IsArchived","IsAssignableToRole","Mail","MailEnabled","MailNickname","Member","MemberOf","MembersWithLicenseError","MembershipRule","MembershipRuleProcessingState","OdataId","OdataType","Owner","PermissionGrant","PreferredDataLocation","PreferredLanguage","ProxyAddress","RenewedDateTime","SecurityEnabled","SecurityIdentifier","Theme","Visibility","AdditionalProperties"
,,"4/26/2022 7:04:34 AM","{
}",,"EDM_TST_TABLEAU_GRP_Test_Site_Explorer","EDM_TST_TABLEAU_GRP_Test_Site_Explorer",,,"System.String[]",,"01173c0f-f680-481d-ae29-68cd217aa509",,,,"False","3e506b36-2",,,,,,,,,,,,"System.String[]","4/26/2022 7:04:34 AM","True","S-1-12-1-18299919-1209923200-3446155694-161839649",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"4/12/2022 6:13:21 AM","{
}",,"EDM_SIT_PEGA_GRP_DCA","EDM_SIT_PEGA_GRP_DCA",,,"System.String[]",,"0374af3c-2c90-4aee-8928-2fc6b360e6d6",,,,"False","a5f5d930-4",,,,,,,,,,,,"System.String[]","4/12/2022 6:13:21 AM","True","S-1-12-1-57978684-1257122960-3324979337-3605422259",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"4/26/2022 7:07:19 AM","{
}",,"EDM_TST_TABLEAU_GRP_SSFSL_Developer","EDM_TST_TABLEAU_GRP_SSFSL_Developer",,,"System.String[]",,"052c3ac3-f52d-461a-b9d2-670f35852286",,,,"False","27f0322d-2",,,,,,,,,,,,"System.String[]","4/26/2022 7:07:19 AM","True","S-1-12-1-86784707-1176171821-258462393-2250409269",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"3/21/2022 4:43:46 PM","{
}",,,"Testing User Admin",,,"System.String[]",,"0850f3d6-cab1-4505-9c6f-680fa29131a3",,"True",,"False","54a8c62c-3",,,,,,,,,,,,"System.String[]","3/21/2022 4:43:46 PM","True","S-1-12-1-139523030-1158007473-258502556-2737934754",,"Private","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"4/12/2022 5:43:08 AM","{
}",,"EDM_TST_PEGA_GRP_CustomerAgent","EDM_TST_PEGA_GRP_CustomerAgent",,,"System.String[]",,"08eeaa02-5d63-4986-97ee-02b7b06f6da2",,,,"False","70073780-6",,,,,,,,,,,,"System.String[]","4/12/2022 5:43:08 AM","True","S-1-12-1-149858818-1233542499-3070422679-2725081008",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"4/8/2022 9:13:34 AM","{
}",,"EDM_TST_PEGA_GRP_Buyer","EDM_TST_PEGA_GRP_Buyer",,,"System.String[]",,"0d2f301d-898f-4b5a-97ae-2acafc0a7201",,,,"False","320a41d0-6",,,,,,,,,,,,"System.String[]","4/8/2022 9:13:34 AM","True","S-1-12-1-221196317-1264224655-3391794839-24251132",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"3/25/2022 11:14:57 AM","{
}",,"EDM_DEV_PEGA_GRP_MSPAgent","EDM_DEV_PEGA_GRP_MSPAgent",,,"System.String[]",,"18f4ed5d-b558-43b7-a2ad-ff5778a897bb",,,,"False","654fc70d-d",,,,,,,,,,,,"System.String[]","3/25/2022 11:14:57 AM","True","S-1-12-1-418704733-1136112984-1476373922-3147278456",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"5/11/2022 8:56:57 AM","{
}",,"EDM_SIT_PEGA_GRP_Manager","EDM_SIT_PEGA_GRP_Manager",,,"System.String[]",,"25ea7b9f-6a5c-4f7b-9d28-686dfd38a103",,,,"False","f1ba5e00-4",,,,,,,,,,,,"System.String[]","5/11/2022 8:56:57 AM","True","S-1-12-1-636124063-1333488220-1835542685-60897533",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"4/25/2022 9:28:38 AM","{
}",,"EDM_TST_TABLEAU_GRP_ADMIN","EDM_TST_TABLEAU_GRP_ADMIN",,,"System.String[]",,"3423a4d7-3a58-4f30-b10e-f0d94d909561",,,,"False","8dbe9375-2",,,,,,,,,,,,"System.String[]","4/25/2022 9:28:38 AM","True","S-1-12-1-874751191-1328560728-3656388273-1637191757",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,"4/26/2022 7:09:09 AM","{
}",,"EDM_TST_TABLEAU_GRP_SSFSL_Explorer","EDM_TST_TABLEAU_GRP_SSFSL_Explorer",,,"System.String[]",,"3ce5a298-0e93-45da-8fef-77f6e1e22ed2",,,,"False","784aa249-7",,,,,,,,,,,,"System.String[]","4/26/2022 7:09:09 AM","True","S-1-12-1-1021682328-1171918483-4135055247-3526288097",,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
